"X","Family","ID","Sex","Treatment","Size","Eclosion","Censored","Lifespan","Activity","Block","Assay","Trial.Date","Chamber","StartTime","Session","age_at_flight","total_distance","total_duration","total_avg_speed","total_peak_speed","marathon_flights","long_flights","medium_flights","short_flights","skip_flights","trial_length"
61,"xK","xK17","M","B",5.366666667,"06/03/2022",1,125,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"xF","xF9","M","B",4.826666667,"28/02/2022",1,125,"Waiting","B","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"xAA","xAA1","F","A",4.426666667,"15/03/2022",1,124,"Flight","E","1","30/03/2022","D","13:21","39",15,2129.6,4220.88217,0.504539078,1.078996025,0,0,2,4,2,5114.932245
64,"xAG","xAG7","M","A",4.366666667,"25/03/2022",1,124,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"xBG","xBG10","M","B",5.78,"03/06/2022",1,123,"Flight","G","1","22/06/2022","B","12:11","68",19,171.6,189.2130806,0.906914043,2.06367474,0,0,0,1,5,2584.229058
66,"xBE","xBE12","F","A",3.723333333,"03/06/2022",1,123,"Flight","G","1","15/06/2022","E","09:53","57",12,347.6,578.468991,0.600896514,1.035340408,0,0,0,1,8,14399.93202
67,"xAK","xAK15","M","B",5.356666667,"27/03/2022",1,122,"Flight","F","1","08/04/2022","C","14:28","52",12,7845.2,12436.18087,0.630836756,1.900635961,0,1,4,8,20,14399.63525
68,"xJ","xJ10","M","B",5.333333333,"06/03/2022",1,122,"Flight","C","1","25/03/2022","C","14:44","32",19,1745.92,4769.085156,0.366091177,1.178768277,0,0,2,14,9,14399.99956
69,"xL","xL1","M","B",5.02,"06/03/2022",1,122,"Flight","C","1","25/03/2022","C","10:20","31",19,5072.32,10788.73548,0.47014963,1.750930387,0,0,6,16,9,14399.99035
70,"xT","xT8","M","B",5.083333333,"09/03/2022",1,122,"Flight","D","1","23/03/2022","C","08:47","27",14,7222.16,12684.73501,0.569358366,1.391686922,0,1,6,2,5,14399.58746
71,"xK","xK3","F","A",4.196666667,"06/03/2022",1,122,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"xAJ","xAJ2","F","A",4.29,"25/03/2022",1,121,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"xBD","xBD6","F","B",4.963333333,"03/06/2022",1,120,"Flight","G","1","21/06/2022","D","16:25","66",18,2221.12,2592.608456,0.856712472,2.329861477,0,0,0,15,12,14399.9741
74,"xBK","xBK6","F","B",3.993333333,"03/06/2022",1,120,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"xAG","xAG9","F","B",5.74,"27/03/2022",1,119,"Flight","F","1","08/04/2022","E","14:28","52",12,573.76,1370.894874,0.418529539,2.046749627,0,0,0,8,26,14399.63525
76,"xN","xN7","M","B",5.533333333,"06/03/2022",1,119,"Flight","C","1","24/03/2022","G","09:15","29",18,3622.08,7466.512398,0.485110023,1.913005642,0,0,3,22,27,14398.99197
77,"xM","xM5","F","A",4.09,"06/03/2022",1,119,"Flight","C","1","19/03/2022","B","09:17","20",13,4560.16,10593.86274,0.430453,2.966159088,0,0,4,29,21,14399.98326
78,"xI","xI7","M","A",4.123333333,"06/03/2022",1,119,"Flight","C","1","17/03/2022","C","14:48","17",11,520.08,1287.047439,0.404087669,1.282998842,0,0,1,2,10,14399.99762
79,"xQ","xQ12","M","A",4.086666667,"09/03/2022",1,119,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"xH","xH10","F","B",4.763333333,"28/02/2022",1,118,"Flight","B","1","12/03/2022","D","08:38","10",12,9.68,19.30385399,0.501454269,1.027073973,0,0,0,0,1,14399.93318
81,"xAX","xAX4","M","A",4.003333333,"02/06/2022",1,117,"Flight","G","1","15/06/2022","G","15:35","58",13,230.56,277.3927782,0.831167998,1.802492595,0,0,0,3,1,14399.76479
