Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xAG,7,M,A,,4.366666667,25/03/2022,24/07/2022,27/07/2022,1,,124,,,,,,,,,,,,,,,,Waiting,F
xBG,10,M,B,,5.78,03/06/2022,01/10/2022,04/10/2022,1,,123,22/06/2022,B,12:11,68,,02/08/2022,B,14:32,151,,01/09/2022,F,08:38,221,,Flight,G
xBE,12,F,A,,3.723333333,03/06/2022,01/10/2022,04/10/2022,1,,123,15/06/2022,E,09:53,57,,02/08/2022,F,14:32,151,,01/09/2022,C,08:38,221,,Flight,G
xAK,15,M,B,,5.356666667,27/03/2022,24/07/2022,27/07/2022,1,,122,08/04/2022,C,14:28,52,,28/05/2022,G,10:24,137,,24/06/2022,F,11:23,215,,Flight,F
xJ,10,M,B,0.2432,5.333333333,06/03/2022,03/07/2022,06/07/2022,1,,122,25/03/2022,C,14:44,32,,06/05/2022,F,09:47,117,,11/06/2022,B,13:53,212,,Flight,C
xL,1,M,B,0.1747,5.02,06/03/2022,03/07/2022,06/07/2022,1,,122,25/03/2022,C,10:20,31,,10/05/2022,G,15:50,123,,04/06/2022,D,14:54,206,,Flight,C
xT,8,M,B,,5.083333333,09/03/2022,06/07/2022,09/07/2022,1,,122,23/03/2022,C,08:47,27,,13/05/2022,C,09:54,126,,08/06/2022,G,10:09,208,,Flight,D
xK,3,F,A,0.1159,4.196666667,06/03/2022,03/07/2022,06/07/2022,1,,122,,,,,,,,,,,,,,,,Waiting,C
D1AE,16,F,B,0.2584,5.676666667,21/02/2022,19/06/2022,22/06/2022,1,,121,10/03/2022,F,14:05,7,,23/04/2022,A,11:47,102,,,,,,,Flight,A
xAJ,2,F,A,,4.29,25/03/2022,20/07/2022,24/07/2022,1,,121,,,,,,,,,,,,,,,,Waiting,F
xBD,6,F,B,,4.963333333,03/06/2022,27/09/2022,01/10/2022,1,,120,21/06/2022,D,16:25,66,,04/08/2022,C,08:30,154,,01/09/2022,B,08:38,221,,Flight,G
xAE,4,F,B,,4.803333333,15/03/2022,09/07/2022,13/07/2022,1,,120,02/04/2022,D,14:05,45,,18/05/2022,D,09:01,130,,16/06/2022,D,10:30,213,,Flight,E
xAC,15,F,A,,4.883333333,15/03/2022,09/07/2022,13/07/2022,1,,120,,,,,,,,,,,,,,,,Waiting,E
xBK,6,F,B,,3.993333333,03/06/2022,27/09/2022,01/10/2022,1,,120,,,,,,,,,,,,,,,,Waiting,G
xAG,9,F,B,,5.74,27/03/2022,20/07/2022,24/07/2022,1,,119,08/04/2022,E,14:28,52,,31/05/2022,B,,139,,24/06/2022,D,11:23,215,,Flight,F
xN,7,M,B,0.2555,5.533333333,06/03/2022,29/06/2022,03/07/2022,1,,119,24/03/2022,G,09:15,29,,11/05/2022,B,09:10,124,,07/06/2022,C,15:10,207,,Flight,C
