Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xBE,6,F,B,,5.403333333,03/06/2022,02/08/2022,04/08/2022,1,,62,21/06/2022,B,16:25,66,,,,,,,,,,,,Flight,G
xAK,16,F,B,,5.436666667,27/03/2022,24/05/2022,28/05/2022,1,,62,08/04/2022,B,14:28,52,,27/05/2022,E,12:44,136,,,,,,,Flight,F
xAI,16,M,B,,5.35,27/03/2022,24/05/2022,28/05/2022,1,,62,07/04/2022,C,09:43,50,,,,,,,,,,,,Flight,F
xAH,16,M,B,,4.463333333,27/03/2022,24/05/2022,28/05/2022,1,,62,05/04/2022,A,14:25,48,,26/05/2022,G,09:43,135,,,,,,,Flight,F
xL,2,F,B,0.1863,5.05,06/03/2022,04/05/2022,07/05/2022,1,,62,25/03/2022,B,10:20,31,,,,,,,,,,,,Flight,C
xA,8,M,A,0.2105,5.573333333,28/02/2022,27/04/2022,01/05/2022,1,,62,19/03/2022,B,13:50,21,,30/04/2022,C,16:05,109,,,,,,,Flight,B
xA,3,F,B,0.2144,5.31,28/02/2022,27/04/2022,01/05/2022,1,,62,19/03/2022,F,09:17,20,,,,,,,,,,,,Flight,B
xA,13,F,A,0.1971,5.233333333,28/02/2022,27/04/2022,01/05/2022,1,,62,19/03/2022,E,09:17,20,,,,,,,,,,,,Flight,B
xF,7,F,B,0.1758,5.06,28/02/2022,27/04/2022,01/05/2022,1,,62,18/03/2022,B,14:10,19,,29/04/2022,C,10:03,106,,,,,,,Flight,B
xH,12,F,B,0.1294,4.613333333,28/02/2022,27/04/2022,01/05/2022,1,,62,12/03/2022,B,08:38,10,,,,,,,,,,,,Flight,B
D1AC,8,F,B,0.01103,4.683333333,21/02/2022,20/04/2022,24/04/2022,1,,62,07/03/2022,A,08:30,3,,,,,,,,,,,,Flight,A
D1AF,4,F,B,0.1261,4.91,21/02/2022,20/04/2022,24/04/2022,1,,62,05/03/2022,A,16:40,2,,,,,,,,,,,,Flight,A
xA,7,M,B,0.2889,5.963333333,28/02/2022,27/04/2022,01/05/2022,1,,62,,,,,,,,,,,,,,,,Waiting,B
xAJ,12,F,B,,5.29,27/03/2022,24/05/2022,28/05/2022,1,,62,,,,,,,,,,,,,,,,Waiting,F
xAH,11,F,B,,5.23,27/03/2022,24/05/2022,28/05/2022,1,,62,,,,,,,,,,,,,,,,Waiting,F
xBC,3,M,A,,3.87,02/06/2022,31/07/2022,02/08/2022,1,,61,21/06/2022,B,07:25,64,,,,,,,,,,,,Flight,G
xBH,2,M,A,,3.916666667,02/06/2022,31/07/2022,02/08/2022,1,,61,15/06/2022,D,15:35,58,,,,,,,,,,,,Flight,G
D1AB,11,F,B,0.2693,5.443333333,21/02/2022,20/04/2022,23/04/2022,1,,61,11/03/2022,C,14:30,9,,,,,,,,,,,,Flight,A
D1AE,15,F,B,0.2895,5.69,21/02/2022,20/04/2022,23/04/2022,1,,61,10/03/2022,G,14:05,7,,,,,,,,,,,,Flight,A
D1AE,10,F,B,0.2614,5.626666667,21/02/2022,20/04/2022,23/04/2022,1,,61,09/03/2022,B,13:25,6,,23/04/2022,D,11:47,102,DEAD,,,,,,Flight,A
D1AA,6,F,B,0.1434,4.75,21/02/2022,20/04/2022,23/04/2022,1,,61,05/03/2022,A,12:15,1,,,,,,,,,,,,Flight,A
xBG,6,F,A,,4.17,02/06/2022,31/07/2022,02/08/2022,1,,61,,,,,,,,,,,,,,,,Waiting,G
xAJ,1,M,A,,4.116666667,25/03/2022,21/05/2022,25/05/2022,1,,61,,,,,,,,,,,,,,,,Waiting,F
xBE,7,M,B,,5.266666667,03/06/2022,31/07/2022,02/08/2022,1,,60,20/06/2022,B,10:00,63,,,,,,,,,,,,Flight,G
xBF,12,F,B,,5.246666667,03/06/2022,31/07/2022,02/08/2022,1,,60,15/06/2022,E,15:35,58,,,,,,,,,,,,Flight,G
xBE,3,F,B,,4.84,03/06/2022,31/07/2022,02/08/2022,1,,60,15/06/2022,B,09:53,57,,,,,,,,,,,,Flight,G
xAC,13,F,A,,4.913333333,15/03/2022,10/05/2022,14/05/2022,1,,60,02/04/2022,B,09:30,44,,,,,,,,,,,,Flight,E
xAD,4,F,A,,4.8,15/03/2022,10/05/2022,14/05/2022,1,,60,30/03/2022,A,13:21,39,SHORT,,,,,,,,,,,Flight,E
xC,4,F,A,0.1469,5.213333333,28/02/2022,27/04/2022,29/04/2022,1,,60,10/03/2022,C,14:05,7,,29/04/2022,A,10:03,106,DEAD,,,,,,Flight,B
xAD,11,F,B,,5.423333333,15/03/2022,10/05/2022,14/05/2022,1,,60,,,,,,,,,,,,,,,,Waiting,E
xBD,10,F,B,,5.053333333,03/06/2022,31/07/2022,02/08/2022,1,,60,,,,,,,,,,,,,,,,Waiting,G
xBI,7,M,A,,4.306666667,02/06/2022,27/07/2022,31/07/2022,1,,59,21/06/2022,G,16:25,66,,,,,,,,,,,,Flight,G
xBC,1,M,A,,3.763333333,02/06/2022,27/07/2022,31/07/2022,1,,59,21/06/2022,A,07:25,64,,,,,,,,,,,,Flight,G
xAW,4,M,B,,5.343333333,02/06/2022,27/07/2022,31/07/2022,1,,59,17/06/2022,B,10:36,59,,,,,,,,,,,,Flight,G
xAW,13,F,A,,4.13,02/06/2022,27/07/2022,31/07/2022,1,,59,12/06/2022,A,13:57,55,,,,,,,,,,,,Flight,G
xAG,14,M,B,,5.803333333,27/03/2022,21/05/2022,25/05/2022,1,,59,09/04/2022,B,12:50,53,,,,,,,,,,,,Flight,F
xAI,11,M,B,,5.263333333,27/03/2022,21/05/2022,25/05/2022,1,,59,08/04/2022,A,09:40,51,,28/05/2022,C,10:24,137,,,,,,,Flight,F
xAI,18,M,B,,5.23,27/03/2022,21/05/2022,25/05/2022,1,,59,07/04/2022,A,09:43,50,,,,,,,,,,,,Flight,F
xK,14,F,B,0.2187,5.33,06/03/2022,01/05/2022,04/05/2022,1,,59,22/03/2022,C,09:04,24,,,,,,,,,,,,Flight,C
xBK,12,F,A,,5.533333333,02/06/2022,27/07/2022,31/07/2022,1,,59,,,,,,,,,,,,,,,,Waiting,G
xAW,6,M,B,,5.303333333,02/06/2022,27/07/2022,31/07/2022,1,,59,,,,,,,,,,,,,,,,Waiting,G
xT,1,M,B,,5.176666667,09/03/2022,04/05/2022,07/05/2022,1,,59,,,,,,,,,,,,,,,,Waiting,D
xAI,14,M,B,,5.143333333,27/03/2022,21/05/2022,25/05/2022,1,,59,,,,,,,,,,,,,,,,Waiting,F
xQ,2,F,B,,4.95,09/03/2022,04/05/2022,07/05/2022,1,,59,,,,,,,,,,,,,,,,Waiting,D
xBA,6,F,A,,3.886666667,02/06/2022,27/07/2022,31/07/2022,1,,59,,,,,,,,,,,,,,,,Waiting,G
xBI,15,M,B,,5.653333333,03/06/2022,27/07/2022,31/07/2022,1,,58,22/06/2022,C,16:55,69,,,,,,,,,,,,Flight,G
xBI,13,M,B,,5.226666667,03/06/2022,27/07/2022,31/07/2022,1,,58,22/06/2022,D,16:55,69,,,,,,,,,,,,Flight,G
xBB,8,M,B,,5.506666667,03/06/2022,27/07/2022,31/07/2022,1,,58,22/06/2022,C,07:27,67,,,,,,,,,,,,Flight,G
xBA,7,F,B,,4.866666667,03/06/2022,27/07/2022,31/07/2022,1,,58,22/06/2022,F,07:27,67,,,,,,,,,,,,Flight,G
xBH,10,M,B,,5.006666667,03/06/2022,27/07/2022,31/07/2022,1,,58,17/06/2022,E,15:55,60,,,,,,,,,,,,Flight,G
xAZ,5,F,B,,#DIV/0!,03/06/2022,27/07/2022,31/07/2022,1,,58,17/06/2022,D,10:36,59,,,,,,,,,,,,Flight,G
xBC,8,F,B,,5.353333333,03/06/2022,27/07/2022,31/07/2022,1,,58,17/06/2022,G,10:36,59,,,,,,,,,,,,Flight,G
xBJ,12,F,B,,3.916666667,03/06/2022,27/07/2022,31/07/2022,1,,58,14/06/2022,D,11:25,56,,,,,,,,,,,,Flight,G
xW,7,F,B,,5.386666667,17/03/2022,10/05/2022,14/05/2022,1,,58,01/04/2022,E,08:50,42,,,,,,,,,,,,Flight,E
D1AE,9,F,B,0.2132,5.513333333,21/02/2022,17/04/2022,20/04/2022,1,,58,11/03/2022,A,09:12,8,,,,,,,,,,,,Flight,A
xBB,11,F,B,,5.573333333,03/06/2022,27/07/2022,31/07/2022,1,,58,,,,,,,,,,,,,,,,Waiting,G
D1AF,5,F,B,0.2238,5.57,21/02/2022,17/04/2022,20/04/2022,1,,58,,,,,,,,,,,,,,,,Waiting,A
xBE,2,F,B,,5.406666667,03/06/2022,27/07/2022,31/07/2022,1,,58,,,,,,,,,,,,,,,,Waiting,G
xBI,10,F,B,,5.246666667,03/06/2022,27/07/2022,31/07/2022,1,,58,,,,,,,,,,,,,,,,Waiting,G
xBE,5,F,B,,5.086666667,03/06/2022,27/07/2022,31/07/2022,1,,58,,,,,,,,,,,,,,,,Waiting,G
xBJ,8,F,B,,4.823333333,03/06/2022,27/07/2022,31/07/2022,1,,58,,,,,,,,,,,,,,,,Waiting,G
xAG,2,F,A,,4.24,25/03/2022,17/05/2022,21/05/2022,1,,57,06/04/2022,D,09:40,49,,,,,,,,,,,,Flight,F
xAE,2,F,B,,5.336666667,15/03/2022,07/05/2022,11/05/2022,1,,57,02/04/2022,B,14:05,45,,,,,,,,,,,,Flight,E
xAC,12,M,A,,4.84,15/03/2022,07/05/2022,11/05/2022,1,,57,02/04/2022,C,09:30,44,,,,,,,,,,,,Flight,E
xAB,1,F,A,,5.1,15/03/2022,07/05/2022,11/05/2022,1,,57,31/03/2022,D,16:11,41,,,,,,,,,,,,Flight,E
xZ,3,F,B,,5.19,15/03/2022,07/05/2022,11/05/2022,1,,57,29/03/2022,C,09:30,36,,,,,,,,,,,,Flight,E
xAE,13,M,A,,5.003333333,15/03/2022,07/05/2022,11/05/2022,1,,57,,,,,,,,,,,,,,,,Waiting,E
xAH,6,F,A,,4.38,25/03/2022,17/05/2022,21/05/2022,1,,57,,,,,,,,,,,,,,,,Waiting,F
xAK,6,F,A,,4.02,25/03/2022,17/05/2022,21/05/2022,1,,57,,,,,,,,,,,,,,,,Waiting,F
xN,11,F,A,0.1429,4.223333333,06/03/2022,27/04/2022,01/05/2022,1,,56,24/03/2022,D,14:16,30,,,,,,,,,,,,Flight,C
xQ,11,M,A,,4.506666667,09/03/2022,01/05/2022,04/05/2022,1,,56,,,,,,,,,,,,,,,,Waiting,D
xR,9,F,A,,3.926666667,09/03/2022,01/05/2022,04/05/2022,1,,56,,,,,,,,,,,,,,,,Waiting,D
xT,14,M,A,,3.853333333,09/03/2022,01/05/2022,04/05/2022,1,,56,,,,,,,,,,,,,,,,Waiting,D
xBG,7,M,A,,4.16,02/06/2022,24/07/2022,27/07/2022,1,,55,21/06/2022,A,11:49,65,,,,,,,,,,,,Flight,G
xAW,8,M,A,,4.163333333,02/06/2022,24/07/2022,27/07/2022,1,,55,20/06/2022,C,10:00,63,,,,,,,,,,,,Flight,G
xAW,5,F,B,,5.316666667,02/06/2022,24/07/2022,27/07/2022,1,,55,12/06/2022,B,13:57,55,,,,,,,,,,,,Flight,G
xAK,17,M,B,,5.446666667,27/03/2022,17/05/2022,21/05/2022,1,,55,08/04/2022,A,14:28,52,,,,,,,,,,,,Flight,F
xAF,9,M,B,,5.356666667,17/03/2022,07/05/2022,11/05/2022,1,,55,01/04/2022,G,13:30,43,,,,,,,,,,,,Flight,E
xAF,6,F,B,,5.06,17/03/2022,07/05/2022,11/05/2022,1,,55,01/04/2022,B,08:50,42,,,,,,,,,,,,Flight,E
xH,8,F,B,0.1646,5.226666667,28/02/2022,20/04/2022,24/04/2022,1,,55,12/03/2022,E,13:15,11,SHORT,,,,,,,,,,,Flight,B
D1AD,9,F,B,0.2452,5.653333333,21/02/2022,13/04/2022,17/04/2022,1,,55,07/03/2022,E,12:53,4,,,,,,,,,,,,Flight,A
xA,11,F,A,0.1558,5.02,28/02/2022,20/04/2022,24/04/2022,1,,55,,,,,,,,,,,,,,,,Waiting,B
xBI,11,M,B,,4.923333333,03/06/2022,24/07/2022,27/07/2022,1,,54,22/06/2022,E,16:55,69,,,,,,,,,,,,Flight,G
xBH,15,F,B,,5.09,03/06/2022,24/07/2022,27/07/2022,1,,54,22/06/2022,E,12:11,68,,,,,,,,,,,,Flight,G
xAX,17,M,B,,5.34,03/06/2022,24/07/2022,27/07/2022,1,,54,21/06/2022,C,16:25,66,,,,,,,,,,,,Flight,G
xBJ,10,F,B,,5.263333333,03/06/2022,24/07/2022,27/07/2022,1,,54,21/06/2022,G,11:49,65,,,,,,,,,,,,Flight,G
xAY,6,F,B,,5.063333333,03/06/2022,24/07/2022,27/07/2022,1,,54,17/06/2022,E,10:36,59,,,,,,,,,,,,Flight,G
xBB,9,F,B,,5.353333333,03/06/2022,24/07/2022,27/07/2022,1,,54,15/06/2022,B,15:35,58,,,,,,,,,,,,Flight,G
xBB,7,F,B,,5.24,03/06/2022,24/07/2022,27/07/2022,1,,54,15/06/2022,F,09:53,57,,,,,,,,,,,,Flight,G
xBJ,1,M,A,,4.66,03/06/2022,24/07/2022,27/07/2022,1,,54,14/06/2022,B,11:25,56,,,,,,,,,,,,Flight,G
D1AA,2,F,A,0.0711,3.99,18/02/2022,10/04/2022,13/04/2022,1,,54,05/03/2022,E,12:15,1,,,,,,,,,,,,Flight,A
xBG,16,M,B,,5.373333333,03/06/2022,24/07/2022,27/07/2022,1,,54,,,,,,,,,,,,,,,,Waiting,G
xBI,17,M,B,,5.326666667,03/06/2022,24/07/2022,27/07/2022,1,,54,,,,,,,,,,,,,,,,Waiting,G
xBH,12,M,B,,5.176666667,03/06/2022,24/07/2022,27/07/2022,1,,54,,,,,,,,,,,,,,,,Waiting,G
xBI,14,F,B,,5.11,03/06/2022,24/07/2022,27/07/2022,1,,54,,,,,,,,,,,,,,,,Waiting,G
xAZ,6,F,B,,4.896666667,03/06/2022,24/07/2022,27/07/2022,1,,54,,,,,,,,,,,,,,,,Waiting,G
xAY,5,F,B,,4.736666667,03/06/2022,24/07/2022,27/07/2022,1,,54,,,,,,,,,,,,,,,,Waiting,G
D1AA,3,F,A,0.0545,3.786666667,18/02/2022,10/04/2022,13/04/2022,1,MALFORMED,54,,,,,,,,,,,,,,,,Waiting,A
xAF,3,F,A,,4.77,15/03/2022,04/05/2022,07/05/2022,1,,53,01/04/2022,B,13:30,43,,,,,,,,,,,,Flight,E
xR,5,F,B,,4.866666667,09/03/2022,27/04/2022,01/05/2022,1,,53,23/03/2022,D,13:25,28,STUCK,,,,,,,,,,,Flight,D
xAC,5,M,B,,5.593333333,15/03/2022,04/05/2022,07/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,E
xV,13,M,B,,5.486666667,15/03/2022,04/05/2022,07/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,E
xQ,4,F,B,,5.173333333,09/03/2022,27/04/2022,01/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,D
xAA,9,F,B,,5.12,15/03/2022,04/05/2022,07/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,E
xQ,6,F,B,,5.08,09/03/2022,27/04/2022,01/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,D
xQ,8,F,B,,4.846666667,09/03/2022,27/04/2022,01/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,D
xAA,5,M,A,,4.313333333,15/03/2022,04/05/2022,07/05/2022,1,,53,,,,,,,,,,,,,,,,Waiting,E
xP,4,M,B,0.2187,5.226666667,06/03/2022,24/04/2022,27/04/2022,1,,52,22/03/2022,F,13:25,26,UNSUCCESSFUL,,,,,,,,,,,Flight,C
xBG,14,F,B,,5.713333333,03/06/2022,20/07/2022,24/07/2022,1,,51,22/06/2022,A,07:27,67,,,,,,,,,,,,Flight,G
xBD,7,F,B,,5.17,03/06/2022,20/07/2022,24/07/2022,1,,51,21/06/2022,E,16:25,66,,,,,,,,,,,,Flight,G
xAZ,4,F,B,,5.243333333,03/06/2022,20/07/2022,24/07/2022,1,,51,18/06/2022,B,10:13,61,,,,,,,,,,,,Flight,G
xBF,14,F,B,,5.123333333,03/06/2022,20/07/2022,24/07/2022,1,,51,18/06/2022,E,10:13,61,,,,,,,,,,,,Flight,G
xBJ,7,M,B,,4.686666667,03/06/2022,20/07/2022,24/07/2022,1,,51,18/06/2022,A,10:13,61,,,,,,,,,,,,Flight,G
xBF,11,M,B,,5.003333333,03/06/2022,20/07/2022,24/07/2022,1,,51,15/06/2022,A,09:53,57,,,,,,,,,,,,Flight,G
xAI,10,M,B,,4.74,27/03/2022,14/05/2022,17/05/2022,1,,51,07/04/2022,D,09:43,50,,,,,,,,,,,,Flight,F
D1AE,18,F,B,0.2711,5.813333333,21/02/2022,10/04/2022,13/04/2022,1,,51,11/03/2022,B,09:12,8,,,,,,,,,,,,Flight,A
D1AD,5,M,A,0.0805,3.856666667,18/02/2022,06/04/2022,10/04/2022,1,,51,07/03/2022,D,12:53,4,,,,,,,,,,,,Flight,A
xAX,18,M,B,,5.543333333,03/06/2022,20/07/2022,24/07/2022,1,,51,,,,,,,,,,,,,,,,Waiting,G
xW,8,M,B,,5.44,17/03/2022,04/05/2022,07/05/2022,1,,51,,,,,,,,,,,,,,,,Waiting,E
xAZ,1,F,B,,5.336666667,03/06/2022,20/07/2022,24/07/2022,1,,51,,,,,,,,,,,,,,,,Waiting,G
xAF,10,F,B,,5.32,17/03/2022,04/05/2022,07/05/2022,1,,51,,,,,,,,,,,,,,,,Waiting,E
xBB,5,F,B,,5.243333333,03/06/2022,20/07/2022,24/07/2022,1,,51,,,,,,,,,,,,,,,,Waiting,G
xAK,10,F,B,,5.173333333,27/03/2022,14/05/2022,17/05/2022,1,,51,,,,,,,,,,,,,,,,Waiting,F
xBE,9,M,A,,4.163333333,03/06/2022,20/07/2022,24/07/2022,1,,51,,,,,,,,,,,,,,,,Waiting,G
xAD,9,F,B,,5.526666667,15/03/2022,01/05/2022,04/05/2022,1,,50,31/03/2022,E,16:11,41,,,,,,,,,,,,Flight,E
xAA,2,M,A,,4.476666667,15/03/2022,01/05/2022,04/05/2022,1,,50,30/03/2022,C,13:21,39,SHORT,,,,,,,,,,,Flight,E
xAE,1,M,B,,5.37,15/03/2022,01/05/2022,04/05/2022,1,,50,30/03/2022,A,08:50,37b,,,,,,,,,,,,Flight,E
xV,9,M,B,,5.693333333,15/03/2022,01/05/2022,04/05/2022,1,,50,27/03/2022,B,08:44,35,,,,,,,,,,,,Flight,E
xV,6,M,A,,5.486666667,15/03/2022,01/05/2022,04/05/2022,1,,50,27/03/2022,E,08:44,35,,,,,,,,,,,,Flight,E
xX,4,M,A,,4.876666667,15/03/2022,01/05/2022,04/05/2022,1,,50,26/03/2022,E,09:02,33,,,,,,,,,,,,Flight,E
xAC,6,F,B,,5.553333333,15/03/2022,01/05/2022,04/05/2022,1,,50,,,,,,,,,,,,,,,,Waiting,E
xAE,5,M,B,,5.35,15/03/2022,01/05/2022,04/05/2022,1,,50,,,,,,,,,,,,,,,,Waiting,E
xAE,6,F,B,,5.243333333,15/03/2022,01/05/2022,04/05/2022,1,,50,,,,,,,,,,,,,,,,Waiting,E
xT,12,M,A,,3.59,09/03/2022,24/04/2022,27/04/2022,1,,49,29/03/2022,E,14:15,37,,,,,,,,,,,,Flight,D
xT,6,F,B,,4.94,09/03/2022,24/04/2022,27/04/2022,1,,49,22/03/2022,B,13:25,26,,,,,,,,,,,,Flight,D
xO,5,F,B,0.1784,5.043333333,06/03/2022,20/04/2022,24/04/2022,1,,49,22/03/2022,E,09:04,24,,,,,,,,,,,,Flight,C
xS,13,M,B,,4.85,09/03/2022,24/04/2022,27/04/2022,1,,49,,,,,,,,,,,,,,,,Waiting,D
xBC,4,F,A,,3.803333333,02/06/2022,17/07/2022,20/07/2022,1,,48,12/06/2022,B,09:20,54,,,,,,,,,,,,Flight,G
xAB,6,F,B,,5.546666667,17/03/2022,01/05/2022,04/05/2022,1,,48,31/03/2022,A,11:30,40,,,,,,,,,,,,Flight,E
xJ,14,M,B,0.2121,5.366666667,06/03/2022,20/04/2022,23/04/2022,0,,48,19/03/2022,A,13:50,21,,05/05/2022,G,12:47,116,,,,,,,Flight,C
xD,3,M,B,0.2192,5.306666667,28/02/2022,13/04/2022,17/04/2022,1,,48,18/03/2022,A,09:12,18,,,,,,,,,,,,Flight,B
xB,2,F,B,0.2419,5.503333333,28/02/2022,13/04/2022,17/04/2022,1,,48,17/03/2022,E,14:48,17,,,,,,,,,,,,Flight,B
xI,14,M,B,0.2314,5.59,06/03/2022,20/04/2022,23/04/2022,0,,48,16/03/2022,A,10:11,15,,,,,,,,,,,,Flight,C
D1AC,6,M,B,0.2571,5.933333333,21/02/2022,06/04/2022,10/04/2022,1,,48,07/03/2022,D,08:30,3,,,,,,,,,,,,Flight,A
xAW,3,M,B,,5.2,02/06/2022,17/07/2022,20/07/2022,1,,48,,,,,,,,,,,,,,,,Waiting,G
xAF,12,F,B,,5.13,17/03/2022,01/05/2022,04/05/2022,1,,48,,,,,,,,,,,,,,,,Waiting,E
xAX,5,M,A,,4.21,02/06/2022,17/07/2022,20/07/2022,1,,48,,,,,,,,,,,,,,,,Waiting,G
xBC,12,F,B,,5.52,03/06/2022,17/07/2022,20/07/2022,1,,47,22/06/2022,E,07:27,67,,,,,,,,,,,,Flight,G
xBH,16,M,B,,5.09,03/06/2022,17/07/2022,20/07/2022,1,,47,21/06/2022,F,16:25,66,,,,,,,,,,,,Flight,G
xAY,4,F,B,,4.913333333,03/06/2022,17/07/2022,20/07/2022,1,,47,18/06/2022,D,10:13,61,,,,,,,,,,,,Flight,G
xW,1,M,A,,5.026666667,15/03/2022,27/04/2022,01/05/2022,1,,47,01/04/2022,D,08:50,42,,,,,,,,,,,,Flight,E
xY,2,F,A,,4.876666667,15/03/2022,27/04/2022,01/05/2022,1,,47,31/03/2022,C,11:30,40,,,,,,,,,,,,Flight,E
xW,3,M,A,,5.136666667,15/03/2022,27/04/2022,01/05/2022,1,,47,30/03/2022,F,13:21,39,SHORT,,,,,,,,,,,Flight,E
xZ,4,F,B,,5.35,15/03/2022,27/04/2022,01/05/2022,1,,47,29/03/2022,D,09:30,36,,,,,,,,,,,,Flight,E
xV,10,F,B,,5.613333333,15/03/2022,27/04/2022,01/05/2022,1,,47,27/03/2022,A,08:44,35,,,,,,,,,,,,Flight,E
xX,1,M,B,,5.253333333,15/03/2022,27/04/2022,01/05/2022,1,,47,26/03/2022,A,13:36,34,,,,,,,,,,,,Flight,E
D1AE,5,F,A,0.1476,4.906666667,18/02/2022,03/04/2022,06/04/2022,0,,47,09/03/2022,C,13:25,6,,,,,,,,,,,,Flight,A
xBG,15,M,B,,5.71,03/06/2022,17/07/2022,20/07/2022,1,,47,,,,,,,,,,,,,,,,Waiting,G
xAC,7,F,B,,5.39,15/03/2022,27/04/2022,01/05/2022,1,,47,,,,,,,,,,,,,,,,Waiting,E
xBH,9,M,B,,5.21,03/06/2022,17/07/2022,20/07/2022,1,,47,,,,,,,,,,,,,,,,Waiting,G
xAB,5,F,A,,5.096666667,15/03/2022,27/04/2022,01/05/2022,1,,47,,,,,,,,,,,,,,,,Waiting,E
xBD,5,M,B,,5.06,03/06/2022,17/07/2022,20/07/2022,1,,47,,,,,,,,,,,,,,,,Waiting,G
xQ,9,M,B,,5.103333333,09/03/2022,20/04/2022,24/04/2022,1,,46,26/03/2022,G,13:36,34,,,,,,,,,,,,Flight,D
xQ,13,F,A,,4.04,09/03/2022,20/04/2022,24/04/2022,1,,46,,,,,,,,,,,,,,,,Waiting,D
xQ,17,F,A,,3.576666667,09/03/2022,20/04/2022,24/04/2022,1,,46,,,,,,,,,,,,,,,,Waiting,D
xBF,3,F,A,,4.073333333,02/06/2022,13/07/2022,17/07/2022,1,,45,17/06/2022,G,15:55,60,,06/08/2022,C,10:53,155,,,,,,,Flight,G
xW,9,M,B,,5.74,17/03/2022,27/04/2022,01/05/2022,1,,45,,,,,,,,,,,,,,,,Waiting,E
xAB,10,F,B,,5.563333333,17/03/2022,27/04/2022,01/05/2022,1,,45,,,,,,,,,,,,,,,,Waiting,E
xAX,16,M,B,,5.473333333,03/06/2022,13/07/2022,17/07/2022,1,,44,22/06/2022,G,07:27,67,,,,,,,,,,,,Flight,G
xBC,9,M,B,,5.36,03/06/2022,13/07/2022,17/07/2022,1,,44,22/06/2022,D,07:27,67,,,,,,,,,,,,Flight,G
xAX,10,M,B,,5.3,03/06/2022,13/07/2022,17/07/2022,1,,44,15/06/2022,F,15:35,58,,,,,,,,,,,,Flight,G
xAX,15,M,B,,5.383333333,03/06/2022,13/07/2022,17/07/2022,1,,44,,,,,,,,,,,,,,,,Waiting,G
xBJ,9,M,B,,5.06,03/06/2022,13/07/2022,17/07/2022,1,,44,,,,,,,,,,,,,,,,Waiting,G
xBF,15,F,B,,5.026666667,03/06/2022,13/07/2022,17/07/2022,1,,44,,,,,,,,,,,,,,,,Waiting,G
xBH,13,F,B,,4.806666667,03/06/2022,13/07/2022,17/07/2022,1,,44,,,,,,,,,,,,,,,,Waiting,G
xBC,7,M,B,,4.596666667,03/06/2022,13/07/2022,17/07/2022,1,,44,,,,,,,,,,,,,,,,Waiting,G
xAC,4,F,B,,5.13,15/03/2022,24/04/2022,27/04/2022,1,,43,02/04/2022,E,09:30,44,,,,,,,,,,,,Flight,E
xAD,8,F,B,,5.593333333,15/03/2022,24/04/2022,27/04/2022,1,,43,31/03/2022,F,16:11,41,,,,,,,,,,,,Flight,E
xAA,4,M,A,,4.503333333,15/03/2022,24/04/2022,27/04/2022,1,,43,,,,,,,,,,,,,,,,Waiting,E
xAI,9,F,A,,4.286666667,25/03/2022,04/05/2022,07/05/2022,1,,43,,,,,,,,,,,,,,,,Waiting,F
xAX,14,M,B,,5.46,03/06/2022,09/07/2022,13/07/2022,1,,40,22/06/2022,B,07:27,67,,,,,,,,,,,,Flight,G
xBE,4,M,B,,4.936666667,03/06/2022,09/07/2022,13/07/2022,1,,40,15/06/2022,C,09:53,57,,,,,,,,,,,,Flight,G
xV,8,F,B,,5.646666667,15/03/2022,20/04/2022,24/04/2022,1,,40,27/03/2022,C,08:44,35,,,,,,,,,,,,Flight,E
xAX,12,M,B,,5.51,03/06/2022,09/07/2022,13/07/2022,1,,40,,,,,,,,,,,,,,,,Waiting,G
xAE,11,M,A,,4.973333333,15/03/2022,20/04/2022,24/04/2022,1,,40,,,,,,,,,,,,,,,,Waiting,E
xAC,10,M,A,,4.856666667,15/03/2022,20/04/2022,24/04/2022,1,,40,,,,,,,,,,,,,,,,Waiting,E
xS,8,F,B,,4.716666667,09/03/2022,13/04/2022,17/04/2022,1,,39,,,,,,,,,,,,,,,,Waiting,D
xD,6,F,B,0.2202,5.356666667,28/02/2022,04/04/2022,05/04/2022,0,,36,18/03/2022,D,14:10,19,,04/05/2022,D,15:47,115,,,,,,,Flight,B
D1AD,12,M,B,0.1762,5.24,21/02/2022,27/03/2022,29/03/2022,1,,36,13/03/2022,A,14:09,13,,,,,,,,,,,,Flight,A
xAE,7,M,B,,5.426666667,15/03/2022,17/04/2022,20/04/2022,1,,36,,,,,,,,,,,,,,,,Waiting,E
xAX,11,M,B,,5.13,03/06/2022,06/07/2022,09/07/2022,1,,36,,,,,,,,,,,,,,,,Waiting,G
D1AE,8,M,B,0.2763,5.94,21/02/2022,23/03/2022,27/03/2022,1,MALFORMED,34,,,,,,,,,,,,,,,,Waiting,A
