"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xBA","xBA3","F","A","Flight",3.823333333,1,83,"A","Flight","G","impoverished"
"xM","xM1","F","A","Flight",3.873333333,1,83,"A","Flight","C","impoverished"
"xO","xO8","M","B","Flight",5.473333333,1,83,"B","Flight","C","enhanced"
"xAW","xAW12","M","A","Waiting",4.313333333,1,83,"A","Waiting","G","impoverished"
"xK","xK5","M","A","Waiting",4.3,1,83,"A","Waiting","C","impoverished"
"xAW","xAW10","M","A","Waiting",4.2,1,83,"A","Waiting","G","impoverished"
"xAW","xAW9","M","A","Waiting",4.05,1,83,"A","Waiting","G","impoverished"
"xBK","xBK3","M","B","Flight",3.596666667,1,82,"B","Flight","G","enhanced"
"xBB","xBB4","M","B","Flight",4.79,1,82,"B","Flight","G","enhanced"
"xAH","xAH5","F","A","Flight",4.083333333,1,82,"A","Flight","F","impoverished"
"xAH","xAH4","M","A","Flight",3.81,1,82,"A","Flight","F","impoverished"
"xAG","xAG1","M","A","Flight",4.166666667,1,82,"A","Flight","F","impoverished"
"xAJ","xAJ5","F","A","Flight",4.166666667,1,82,"A","Flight","F","impoverished"
"xH","xH2","F","A","Flight",4.253333333,1,82,"A","Flight","B","impoverished"
"xAX","xAX13","M","B","Waiting",5.053333333,1,82,"B","Waiting","G","enhanced"
"xBK","xBK5","M","B","Waiting",4.113333333,1,82,"B","Waiting","G","enhanced"
"xAA","xAA7","F","B","Flight",5.283333333,1,81,"B","Flight","E","enhanced"
"xAD","xAD3","F","A","Flight",4.063333333,1,81,"A","Flight","E","impoverished"
"xZ","xZ7","F","A","Flight",4.603333333,1,81,"A","Flight","E","impoverished"
"xAH","xAH10","M","B","Flight",5.363333333,1,80,"B","Flight","F","enhanced"
"xAJ","xAJ7","M","B","Flight",5.206666667,1,80,"B","Flight","F","enhanced"
"xO","xO4","M","B","Flight",5.24,1,80,"B","Flight","C","enhanced"
"xP","xP9","F","B","Flight",4.176666667,1,80,"B","Flight","C","enhanced"
"xI","xI3","M","A","Flight",4.413333333,1,80,"A","Flight","C","impoverished"
